name_name,name_url,name_rank,name_rank_url,name_grade,name_grade_url
Granite State College,https://www.niche.com/colleges/granite-state-college/,39,https://www.niche.com/colleges/granite-state-college/,A+,https://www.niche.com/colleges/granite-state-college/
San Diego Christian College,https://www.niche.com/colleges/san-diego-christian-college/,40,https://www.niche.com/colleges/san-diego-christian-college/,A+,https://www.niche.com/colleges/san-diego-christian-college/
University of Connecticut - Stamford,https://www.niche.com/colleges/university-of-connecticut---stamford/,41,https://www.niche.com/colleges/university-of-connecticut---stamford/,A+,https://www.niche.com/colleges/university-of-connecticut---stamford/
Grace College & Seminary,https://www.niche.com/colleges/grace-college--and--seminary/,42,https://www.niche.com/colleges/grace-college--and--seminary/,A+,https://www.niche.com/colleges/grace-college--and--seminary/
Charleston Southern University,https://www.niche.com/colleges/charleston-southern-university/,43,https://www.niche.com/colleges/charleston-southern-university/,A+,https://www.niche.com/colleges/charleston-southern-university/
Laguna College of Art & Design,https://www.niche.com/colleges/laguna-college-of-art--and--design/,44,https://www.niche.com/colleges/laguna-college-of-art--and--design/,A+,https://www.niche.com/colleges/laguna-college-of-art--and--design/
Chatham University,https://www.niche.com/colleges/chatham-university/,45,https://www.niche.com/colleges/chatham-university/,A+,https://www.niche.com/colleges/chatham-university/
Oral Roberts University,https://www.niche.com/colleges/oral-roberts-university/,46,https://www.niche.com/colleges/oral-roberts-university/,A+,https://www.niche.com/colleges/oral-roberts-university/
Hope International University,https://www.niche.com/colleges/hope-international-university/,47,https://www.niche.com/colleges/hope-international-university/,A+,https://www.niche.com/colleges/hope-international-university/
Columbia Basin College,https://www.niche.com/colleges/columbia-basin-college/,48,https://www.niche.com/colleges/columbia-basin-college/,A+,https://www.niche.com/colleges/columbia-basin-college/
Liberty University,https://www.niche.com/colleges/liberty-university/,49,https://www.niche.com/colleges/liberty-university/,A+,https://www.niche.com/colleges/liberty-university/
Central Baptist College,https://www.niche.com/colleges/central-baptist-college/,50,https://www.niche.com/colleges/central-baptist-college/,A+,https://www.niche.com/colleges/central-baptist-college/
Penn State Abington,https://www.niche.com/colleges/penn-state-abington/,51,https://www.niche.com/colleges/penn-state-abington/,A+,https://www.niche.com/colleges/penn-state-abington/
Penn State Worthington Scranton,https://www.niche.com/colleges/penn-state-worthington-scranton/,52,https://www.niche.com/colleges/penn-state-worthington-scranton/,A+,https://www.niche.com/colleges/penn-state-worthington-scranton/
Tabor College,https://www.niche.com/colleges/tabor-college/,53,https://www.niche.com/colleges/tabor-college/,A+,https://www.niche.com/colleges/tabor-college/
Schoolcraft College,https://www.niche.com/colleges/schoolcraft-college/,54,https://www.niche.com/colleges/schoolcraft-college/,A+,https://www.niche.com/colleges/schoolcraft-college/
Nevada State College,https://www.niche.com/colleges/nevada-state-college/,55,https://www.niche.com/colleges/nevada-state-college/,A+,https://www.niche.com/colleges/nevada-state-college/
George Fox University,https://www.niche.com/colleges/george-fox-university/,56,https://www.niche.com/colleges/george-fox-university/,A+,https://www.niche.com/colleges/george-fox-university/
Union University,https://www.niche.com/colleges/union-university/,57,https://www.niche.com/colleges/union-university/,A+,https://www.niche.com/colleges/union-university/
Columbus College of Art & Design,https://www.niche.com/colleges/columbus-college-of-art--and--design/,58,https://www.niche.com/colleges/columbus-college-of-art--and--design/,A+,https://www.niche.com/colleges/columbus-college-of-art--and--design/
Fashion Institute of Technology,https://www.niche.com/colleges/fashion-institute-of-technology/,59,https://www.niche.com/colleges/fashion-institute-of-technology/,A,https://www.niche.com/colleges/fashion-institute-of-technology/
Texas A&M University - Texarkana,https://www.niche.com/colleges/texas-a-and-m-university---texarkana/,60,https://www.niche.com/colleges/texas-a-and-m-university---texarkana/,A,https://www.niche.com/colleges/texas-a-and-m-university---texarkana/
SUNY Empire State College,https://www.niche.com/colleges/suny-empire-state-college/,61,https://www.niche.com/colleges/suny-empire-state-college/,A,https://www.niche.com/colleges/suny-empire-state-college/
University of Maine at Augusta,https://www.niche.com/colleges/university-of-maine-at-augusta/,62,https://www.niche.com/colleges/university-of-maine-at-augusta/,A,https://www.niche.com/colleges/university-of-maine-at-augusta/
Felician College,https://www.niche.com/colleges/felician-college/,63,https://www.niche.com/colleges/felician-college/,A,https://www.niche.com/colleges/felician-college/
Indiana University - Kokomo,https://www.niche.com/colleges/indiana-university---kokomo/,64,https://www.niche.com/colleges/indiana-university---kokomo/,A,https://www.niche.com/colleges/indiana-university---kokomo/
Northwestern Oklahoma State University,https://www.niche.com/colleges/northwestern-oklahoma-state-university/,65,https://www.niche.com/colleges/northwestern-oklahoma-state-university/,A,https://www.niche.com/colleges/northwestern-oklahoma-state-university/
Asbury University,https://www.niche.com/colleges/asbury-university/,66,https://www.niche.com/colleges/asbury-university/,A,https://www.niche.com/colleges/asbury-university/
St. Petersburg College,https://www.niche.com/colleges/st-petersburg-college/,67,https://www.niche.com/colleges/st-petersburg-college/,A,https://www.niche.com/colleges/st-petersburg-college/
Wellesley College,https://www.niche.com/colleges/wellesley-college/,68,https://www.niche.com/colleges/wellesley-college/,A,https://www.niche.com/colleges/wellesley-college/
Concordia University - Nebraska,https://www.niche.com/colleges/concordia-university---nebraska/,69,https://www.niche.com/colleges/concordia-university---nebraska/,A,https://www.niche.com/colleges/concordia-university---nebraska/
Emmanuel College - Georgia,https://www.niche.com/colleges/emmanuel-college---georgia/,70,https://www.niche.com/colleges/emmanuel-college---georgia/,A,https://www.niche.com/colleges/emmanuel-college---georgia/
Eastern Oregon University,https://www.niche.com/colleges/eastern-oregon-university/,71,https://www.niche.com/colleges/eastern-oregon-university/,A,https://www.niche.com/colleges/eastern-oregon-university/
Northwestern College - Iowa,https://www.niche.com/colleges/northwestern-college---iowa/,72,https://www.niche.com/colleges/northwestern-college---iowa/,A,https://www.niche.com/colleges/northwestern-college---iowa/
