name_name,name_url,name_rank,name_rank_url,name_Athletics,name_Athletics_url
University of San Francisco,https://www.niche.com/colleges/university-of-san-francisco/,462,https://www.niche.com/colleges/university-of-san-francisco/,B,https://www.niche.com/colleges/university-of-san-francisco/
College of Charleston,https://www.niche.com/colleges/college-of-charleston/,463,https://www.niche.com/colleges/college-of-charleston/,B,https://www.niche.com/colleges/college-of-charleston/
Weber State University,https://www.niche.com/colleges/weber-state-university/,464,https://www.niche.com/colleges/weber-state-university/,B,https://www.niche.com/colleges/weber-state-university/
Notre Dame College,https://www.niche.com/colleges/notre-dame-college/,465,https://www.niche.com/colleges/notre-dame-college/,B,https://www.niche.com/colleges/notre-dame-college/
Portland State University,https://www.niche.com/colleges/portland-state-university/,466,https://www.niche.com/colleges/portland-state-university/,B,https://www.niche.com/colleges/portland-state-university/
University of Arkansas at Little Rock,https://www.niche.com/colleges/university-of-arkansas-at-little-rock/,467,https://www.niche.com/colleges/university-of-arkansas-at-little-rock/,B,https://www.niche.com/colleges/university-of-arkansas-at-little-rock/
Wheeling Jesuit University,https://www.niche.com/colleges/wheeling-jesuit-university/,468,https://www.niche.com/colleges/wheeling-jesuit-university/,B,https://www.niche.com/colleges/wheeling-jesuit-university/
Missouri Western State University,https://www.niche.com/colleges/missouri-western-state-university/,469,https://www.niche.com/colleges/missouri-western-state-university/,B,https://www.niche.com/colleges/missouri-western-state-university/
Marietta College,https://www.niche.com/colleges/marietta-college/,470,https://www.niche.com/colleges/marietta-college/,B,https://www.niche.com/colleges/marietta-college/
Southwest Baptist University,https://www.niche.com/colleges/southwest-baptist-university/,471,https://www.niche.com/colleges/southwest-baptist-university/,B,https://www.niche.com/colleges/southwest-baptist-university/
Radford University,https://www.niche.com/colleges/radford-university/,472,https://www.niche.com/colleges/radford-university/,B,https://www.niche.com/colleges/radford-university/
Trinity College - Connecticut,https://www.niche.com/colleges/trinity-college---connecticut/,473,https://www.niche.com/colleges/trinity-college---connecticut/,B,https://www.niche.com/colleges/trinity-college---connecticut/
University of Arkansas at Pine Bluff,https://www.niche.com/colleges/university-of-arkansas-at-pine-bluff/,474,https://www.niche.com/colleges/university-of-arkansas-at-pine-bluff/,B,https://www.niche.com/colleges/university-of-arkansas-at-pine-bluff/
Reinhardt University,https://www.niche.com/colleges/reinhardt-university/,475,https://www.niche.com/colleges/reinhardt-university/,B,https://www.niche.com/colleges/reinhardt-university/
Siena Heights University,https://www.niche.com/colleges/siena-heights-university/,476,https://www.niche.com/colleges/siena-heights-university/,B,https://www.niche.com/colleges/siena-heights-university/
Tufts University,https://www.niche.com/colleges/tufts-university/,477,https://www.niche.com/colleges/tufts-university/,B,https://www.niche.com/colleges/tufts-university/
Oakland University,https://www.niche.com/colleges/oakland-university/,478,https://www.niche.com/colleges/oakland-university/,B,https://www.niche.com/colleges/oakland-university/
Winston-Salem State University,https://www.niche.com/colleges/winston-salem-state-university/,479,https://www.niche.com/colleges/winston-salem-state-university/,B,https://www.niche.com/colleges/winston-salem-state-university/
Dixie State University,https://www.niche.com/colleges/dixie-state-university/,480,https://www.niche.com/colleges/dixie-state-university/,B,https://www.niche.com/colleges/dixie-state-university/
Lincoln Memorial University,https://www.niche.com/colleges/lincoln-memorial-university/,481,https://www.niche.com/colleges/lincoln-memorial-university/,B,https://www.niche.com/colleges/lincoln-memorial-university/
